Move	RPRICE	MPRICE
414.3781	-0.5439	-0.4292
4.8519	-0.4960	-0.2921
90.2006	0.0190	0.1748
-33.2455	-0.1588	0.6856
-42.0781	0.0138	0.2529
-77.1604	-0.0365	0.4733
-65.3097	-0.0501	0.3279
-66.2328	-0.0528	0.3214
-51.5918	-0.0519	0.3235
-73.8996	-0.0585	0.3072
-40.3866	-0.0475	0.3344
309.4336	-0.7642	0.0850
4.1941	0.0214	-0.7702
-118.6461	0.0605	0.1183
185.7390	-0.6183	0.9051
-44.0859	0.8516	0.0479
-64.3668	0.5374	-0.5667
-97.6358	0.6487	0.0732
-91.3026	0.6429	0.0590
351.4153	-0.8588	0.7890
13.9640	-0.4075	-0.0988
-105.4570	0.8800	-0.4375
-83.8153	0.6491	0.5543
333.6120	-0.9290	0.6025
-8.6179	0.7824	-0.0101
5.7318	0.5035	0.1978
-1.7813	0.4925	-0.8294
-104.0202	0.6347	0.0186
-73.7377	0.6537	0.0655
271.0824	-0.8631	0.0234
-106.9980	0.9348	-0.1367
10.3649	0.1559	0.0707
-75.9143	0.7484	0.0007
105.1850	-0.5609	0.0289
-117.0691	0.9182	0.0018
-83.1993	0.6524	0.0623
80.2876	-0.5587	0.0343
-115.3766	0.8888	0.0279
23.3318	-0.8283	0.0608
-124.8575	0.9681	0.1247
255.1576	-0.8343	0.0527
-76.7928	0.9392	-0.1258
-85.8918	0.6418	0.0361
-78.9687	0.6444	0.0844
-110.1490	0.6352	0.3389
104.5898	-0.8602	0.1276
291.6216	-0.5422	0.1090
203.6322	-0.3346	-0.1130
-78.4734	0.8437	0.0204
-0.3854	-0.1024	0.5536
-61.3838	0.6919	0.2010
52.6940	-0.2585	0.1861
-70.1982	0.6993	0.1844
49.5287	-0.2512	0.1982
40.6223	-0.0702	0.1850
-101.1982	-0.0707	0.1839
-95.6839	0.7619	0.3393
-80.4713	0.5488	-0.2373
-43.7954	0.1084	0.5799
-65.6814	0.6695	0.2161
12.5814	-0.1623	0.1884
-91.5375	0.6672	0.2143
5.5242	-0.4372	-0.7792
-99.3315	-0.0561	0.0914
-55.1773	-0.0442	0.1208
-108.3830	0.9342	0.0673
-123.0425	0.6637	1.3685
-50.2710	0.4944	0.4220
-16.1712	0.2325	0.2921
-27.9087	0.0329	0.2979
-39.1657	0.1135	0.3415
-24.1657	-0.1865	-1.1833
-122.0601	0.4050	0.1152
861.1299	-1.1335	0.0752
-1.2306	-0.2302	-0.7838
-91.6527	0.1843	1.6863
-22.8361	0.1786	0.3230
